side	item	source	type	lines	class_judge_XY	class_judge_YX	judges_agree	target	effort	adoption_cost	note_judge_XY	note_judge_YX
ecc	item-1	scripts/hooks/session-start.js	hook	798	COMPLEMENT	COMPLEMENT	yes	none: hook-gate lane, plan-gate output only	L	798 lines in 1 file(s) to rewrite to the library's authoring rules, strip agent-directed text, check name collisions, land as maturity: incubator, bump workbench	COMPLEMENT — provides automatic, no-trigger-needed carryover that X's phrase-triggered item-1 lacks.	COMPLEMENT — fills a gap X's set lacks entirely: fully automatic, no-invocation-needed context carryover at every session start; weakness (report: "does not itself validate that the injected summary content is accurate") is exactly what X item-1's checker addresses.
ecc	item-2	scripts/hooks/session-start-bootstrap.js	hook	85	DISCARD	DISCARD	yes	n/a	n/a	n/a	DISCARD — thin, unverifiable plumbing that "delegates all substantive logic" to an unincluded runner script; no bar-relevant behavior of its own.	DISCARD — pure plumbing, "ignores all three," no independent content; X's on-demand skill model has no need for an equivalent dispatcher.
ecc	item-3	scripts/hooks/pre-compact.js	hook	178	COMPLEMENT	COMPLEMENT	yes	none: hook-gate lane, plan-gate output only	M	178 lines in 1 file(s) to rewrite to the library's authoring rules, strip agent-directed text, check name collisions, land as maturity: incubator, bump workbench	COMPLEMENT — automatic pre-compaction state capture with no X analog.	COMPLEMENT — no analog in X; fills the compaction-triggered persistence gap.
ecc	item-4	scripts/hooks/session-end.js	hook	355	COMPLEMENT	SUPERSEDED	NO	none: hook-gate lane, plan-gate output only	M	355 lines in 1 file(s) to rewrite to the library's authoring rules, strip agent-directed text, check name collisions, land as maturity: incubator, bump workbench	COMPLEMENT — continuously updated per-turn log with no X analog.	COMPLEMENT for automatic background logging, but SUPERIOR SUBSTITUTE exists in X item-5 for rigor of transcript handling — X item-5's grep-then-slice, file:line-provenanced, "NOT FOUND" extraction is stricter than item-4's inline parsing, which the report says "ignores plan-then-stop... ignores say-what-was-not-checked."
ecc	item-5	scripts/hooks/session-end-marker.js	hook	67	DISCARD	DISCARD	yes	n/a	n/a	n/a	DISCARD — cleanup that exists only to counteract complexity (leases, background helper processes) Y itself introduces; X has no such complexity to clean up.	DISCARD — "pure housekeeping with no planning, evidence, or disclosure role" per report; no independent value to adopt.
ecc	item-6	scripts/hooks/evaluate-session.js	hook	100	REDUNDANT	SUPERSEDED	NO	n/a	n/a	n/a	REDUNDANT — X item-3's evidence-based gate (commit/failure/decision, checked against git) covers the same checkpoint with a materially better criterion than Y-6's arbitrary message-count threshold.	SUPERIOR SUBSTITUTE exists in X item-4 — X item-4 actually performs mining with user confirmation and per-candidate accept/backlog, while item-6 "does not extract anything itself."
ecc	item-7	skills/strategic-compact/	skill	156	INGESTIBLE FRAGMENTS	COMPLEMENT	NO	plugins/workbench/skills/strategic-compact/	M	156 lines in 1 file(s) to rewrite to the library's authoring rules, strip agent-directed text, check name collisions, land as maturity: incubator, bump workbench	INGESTIBLE FRAGMENTS — the "write the plan to a file before compacting" instruction and the compaction decision table would strengthen X item-1 (handoff skill) with a compaction-triggered variant; the rest of the item is documentation for an unincluded triggering script.	COMPLEMENT — no compaction-management skill exists in X; item-7's "write the plan to a file before compacting" directly reinforces plan-then-stop.
ecc	item-8	skills/continuous-learning-v2/	skill	6339	COMPLEMENT	SUPERSEDED	NO	plugins/workbench/skills/continuous-learning-v2/	L	6339 lines in 12 file(s) to rewrite to the library's authoring rules, strip agent-directed text, check name collisions, land as maturity: incubator, bump workbench	COMPLEMENT — continuous, cross-project passive pattern capture that X's on-demand batch mining (item-4) doesn't do; caveat: its confidence-threshold auto-promotion is the one item in either report in real tension with plan-then-stop.	SUPERIOR SUBSTITUTE exists in X (pair: item-3 retro + item-4 skill-mining) — X's versions gate on evidence and require human accept/shelve per candidate rather than auto-promoting at a confidence threshold; INGESTIBLE FRAGMENTS: item-8's fail-closed guard-file-on-suspicious-subprocess-output mechanism could strengthen X item-4's synthesis-agent step.
ecc	item-9	skills/unified-memory/	skill	170	COMPLEMENT	SUPERSEDED	NO	plugins/workbench/skills/unified-memory/	M	170 lines in 1 file(s) to rewrite to the library's authoring rules, strip agent-directed text, check name collisions, land as maturity: incubator, bump workbench	COMPLEMENT — cross-tool (not just cross-session) handoff, a capability neither X nor Y's other items attempt, contingent on an external runtime being installed.	SUPERIOR SUBSTITUTE exists in X item-1 — same cross-session/cross-tool handoff goal, but X item-1 is self-contained and verifiable (checker script, fixtures) while item-9 depends on an external runtime the report says is absent from most setups.
ecc	item-10	docs/design/ecc-memory-vault.md	rule file	222	INGESTIBLE FRAGMENTS	COMPLEMENT	NO	plugins/workbench/skills/ecc-memory-vault/	M	222 lines in 1 file(s) to rewrite to the library's authoring rules, strip agent-directed text, check name collisions, land as maturity: incubator, bump workbench	INGESTIBLE FRAGMENTS — its constraints (create-only writes, no automated promotion transition, secret-shaped strings rejected before write, no symlink-follow) would harden X item-7's data-shape spec, which states no equivalent safety invariants today.	COMPLEMENT with INGESTIBLE FRAGMENTS for X item-1/item-7 — X has no equivalent secret-rejection-before-write, symlink-never-followed-on-read, or create-only-write rules; these constraints are worth pulling into X's handoff/claims machinery even though item-10's overall "binding contract" role is otherwise SUPERIOR SUBSTITUTEd by X item-7.
