kind	name	what_it_does	what_you_say	what_you_get	on_your_computer
skill	change-watch	Watches one thing that changes on its own timeline, such as an alarm or a pull request, and reports only when it changes, not every time it is checked.	"watch this alarm and only tell me when it changes"	A report on each change, with a diagnosis and any follow-up action either done or queued for your approval.	Sets up a check that keeps running on a schedule afterwards, keeps a small file per watched thing that it rewrites on every check, and runs the reading command you gave it. Needs Python.
skill	council	Gets three fresh opinions on a decision from helpers that never saw your conversation, after writing its own position down first.	"give me second opinions on this decision"	Four positions side by side, the strongest disagreement named, and a recommendation that says whether it moved.	Runs three extra Claude helpers, which costs tokens and time. It changes nothing on disk.
skill	experiment-harness	Sets up a folder for modeling or analysis work that records each idea and its prediction before you see the result, and keeps a list of ideas already killed.	"set up an experiment harness for this model"	A new project folder with a register of hypotheses, a frozen check to score predictions against, a dead-ideas list, and two commands for later sessions.	Creates one new folder of template files where you tell it to. Later runs use whatever experiment command you write into a run file.
skill	handoff	Writes a summary file that carries one session's work into the next, with each checkable claim tied to the command that proves it, and re-runs those commands when you resume.	"handoff" or "context is getting long, wrap this up"	A markdown file to keep, a prompt block to paste into the next session, and on resume a table of each claim, its command, the real output, and whether it matched.	Writes a handoff file, and when you resume from one it runs every command written inside that file through a shell. Needs Python, the PyYAML package and git.
skill	orch-pipeline	Takes one ordinary code change through sized steps: plan, stop for your approval, write the failing test first, review, stop again before committing.	"run this fix through the pipeline"	A plan you approve, code and tests changed in your repo, review findings, and commits you confirm before they are made.	Changes source and test files in the repo you point it at, runs that repo's own test command repeatedly, and makes git commits after you confirm. It never pushes.
skill	orch-review	Reviews a code change with several separate reviewers at once, checks the serious findings a second time, and refuses to say approved when any part of the review did not run.	"review this PR with multiple reviewers"	Findings split into blocking and advisory, each with its reason, and a plain statement when part of the review did not run.	Reads a change and runs several Claude helpers over it. Uses git, and for a pull request the GitHub command line tool gh and the GitHub sign-in you already have. It changes no files.
skill	phased-harness	Interviews you about a job that spans many sessions and ends in something you cannot undo, then creates a folder of step-by-step runbooks with approval points that later sessions follow.	"set up a phased project for this migration"	A new project folder with a config file, a state file, an end-state document, one runbook per phase, and a command that resumes the work from disk.	Creates one new folder of instructions and templates. Running the job later is what touches your real files, and it is written to stay undoable until you confirm the final step.
skill	retro	Decides whether a session earned a short write-up, and if it did, writes one and proposes where each lesson belongs.	"retro"	One short note for a session that produced a commit, a failure or a decision, with a proposed destination per lesson, or nothing at all.	Reads your past Claude Code conversations stored on your computer, runs git log and git status, and writes one markdown file into the project's .claude/retros/ folder.
skill	rulings-harness	Turns measured decisions into one file each, carrying the evidence, what would prove the decision wrong, and a command to re-check it later.	"turn this benchmark finding into something we re-check"	A rulings folder with an index and one file per decision, plus a command that later flags which decisions may have gone stale.	Creates a folder of decision files with an index, and later runs the re-check command you wrote into each one. It never edits your CLAUDE.md; a migration is handed to you as a proposal.
skill	santa-method	Has two independent reviewers judge finished writing against one written rubric, for work no test or build can decide.	"check this twice before I publish it"	Both reviewers' verdicts, what each flagged, and either a pass or an escalation to you after three rounds.	Runs two extra Claude helpers per round, up to three rounds, which costs tokens and time. It writes nothing and sends nothing.
skill	sweep-harness	Sets up a batch job over many items that all need the same treatment, with a frozen list, one state file per item, and a deliberately broken item that proves the failure check works.	"run this same check across every repo"	A new folder with the frozen list of items, a worker runbook, a failures file, and a command that works through the items in batches.	Runs your enumeration command once and uses git to commit the frozen list. The later sweep applies your own per-item procedure to every item, in batches, without stopping to ask between batches.
agent	harness-optimizer	Audits the configuration of a Claude Code setup, proposes small changes, and proves each one by running a check you name three times.	"tune this harness, it is slow and flaky"	A list of changes tried, the trial results for each, which ones stayed, and which were marked BLOCKED for you to decide.	Edits configuration files in the tree you point it at, after recording how to restore each one, and runs your named check repeatedly. It puts a file back when a check fails, and never applies a permission, credential or safety change.
agent	loop-operator	Watches a job that is already running in a loop and says whether to continue, pause, shrink it, or stop and get a person.	"is this sweep stuck, or should I let it keep going"	One recommendation per checkpoint with its reason, and a plain statement when it cannot supervise because the loop writes nothing down.	Reads the state file and log the running job writes, and runs commands that only look. Its setup blocks the file-editing tools, so it changes nothing.
