side	item	source	type	lines	class_judge_XY	class_judge_YX	judges_agree	target	effort	adoption_cost	note_judge_XY	note_judge_YX
ecc	item-1	hooks/	hook set	685	INGESTIBLE FRAGMENTS	COMPLEMENT	NO	none: hook-gate lane, plan-gate output only	L	685 lines in 5 file(s) to rewrite to the library's authoring rules, strip agent-directed text, check name collisions, land as maturity: incubator, bump foundry-core	INGESTIBLE FRAGMENTS — the event-taxonomy-plus-block/warn-capability declaration is a useful fragment to graft onto X (which documents no central wiring registry); the "silently disable via comma-separated env toggle" fragment should be discarded, since it is the direct source of the item's "conflict" rating.	COMPLEMENT — fills the "consolidated overview of what's wired to which events" gap X has no equivalent for; the "block first edit, demand investigation" idea it describes is an INGESTIBLE FRAGMENT that could sharpen X item-1 if implemented and tested the way X item-1's hooks are.
ecc	item-2	scripts/hooks/run-with-flags.js	hook	275	INGESTIBLE FRAGMENTS	COMPLEMENT	NO	none: hook-gate lane, plan-gate output only	M	275 lines in 1 file(s) to rewrite to the library's authoring rules, strip agent-directed text, check name collisions, land as maturity: incubator, bump foundry-core	INGESTIBLE FRAGMENTS — path-traversal rejection on script resolution and the 30-second timeout are concrete safety properties X's item-1 lacks and could adopt; the "empty stdout + exit 0 = no opinion, so pass-through paths fail open" fragment should be discarded as it undermines behavior 2.	COMPLEMENT — the dry-run preview and per-profile enable/disable toggle are features X's directly-registered hooks don't have, though the report's own "conflict" note (skip looks identical to pass) means this shouldn't be adopted as-is.
ecc	item-3	scripts/hooks/plugin-hook-bootstrap.js	hook	328	INGESTIBLE FRAGMENTS	COMPLEMENT	NO	none: hook-gate lane, plan-gate output only	M	328 lines in 1 file(s) to rewrite to the library's authoring rules, strip agent-directed text, check name collisions, land as maturity: incubator, bump foundry-core	INGESTIBLE FRAGMENTS — cross-platform shell probing and echoed-input suppression (to avoid transcript bloat) are worth pulling into X's item-1, which is bash/python-only with no stated Windows path; the "unknown mode/no shell found still exits 0" fragment should be discarded for the same fail-open-as-success reason.	COMPLEMENT — fills a genuine Windows/PowerShell execution gap that X's item-1 (python3/bash only) never addresses.
ecc	item-4	scripts/hooks/pre-bash-dispatcher.js	hook	24	DISCARD	SUPERIOR SUBSTITUTE	NO	none: hook-gate lane, plan-gate output only	S	24 lines in 1 file(s) to rewrite to the library's authoring rules, strip agent-directed text, check name collisions, land as maturity: incubator, bump foundry-core	DISCARD — by the report's own account "everything substantive" is delegated to an absent module; nothing beyond a 1MB stdin cap is verifiable, too thin to be a usable fragment.	SUPERIOR SUBSTITUTE — X item-1's destructive-command/credential hook does the same job (Bash pre-tool-use gate) as a fully verifiable, self-contained implementation, versus Y item-4's empty relay to an unseen module ("Everything substantive... is delegated to a module this directory does not include").
ecc	item-5	scripts/hooks/posttooluse-dispatcher.js	hook	290	INGESTIBLE FRAGMENTS	COMPLEMENT	NO	none: hook-gate lane, plan-gate output only	M	290 lines in 1 file(s) to rewrite to the library's authoring rules, strip agent-directed text, check name collisions, land as maturity: incubator, bump foundry-core	INGESTIBLE FRAGMENTS — the explicit "stdout from `<ids>` dropped in favor of `<id>`" arbitration warning is a good say-what-was-not-checked pattern worth adding to X if X ever needs multi-hook arbitration on one event; the surrounding architecture (bundling ~10 absent sub-hook implementations) isn't itself adoptable since none of those implementations are present.	COMPLEMENT — X has no PostToolUse hooks at all and nothing that arbitrates between multiple hooks firing on one event; this is a real gap Y fills conceptually, though its own value can't be verified since the ~10 wrapped hooks aren't present.
installed	item-1	dot-claude/hooks/	hook set	299	COMPLEMENT	SUPERIOR SUBSTITUTE	NO	dot-claude/hooks/	M	already in the library; cost is the edit the fragments imply plus a version bump	COMPLEMENT — fills the gap left by Y item-1, whose manifest names comparable policy hooks (a "fact-forcing gate," pre-commit checks) but includes none of their actual, inspectable code.	SUPERIOR SUBSTITUTE — pairs with Y item-1's prose-only descriptions of similar checks (destructive-command blocking, quality gating): X shows verifiable code, exact deny conditions, and named failure modes where Y only names behaviors.
installed	item-2	scripts/prove-hooks.sh	script	171	COMPLEMENT	COMPLEMENT	yes	scripts/prove-hooks.sh	M	already in the library; cost is the edit the fragments imply plus a version bump	COMPLEMENT — Y has no test/fixture harness anywhere; this directly answers the slot's "tested" requirement, which Y's report leaves entirely unaddressed.	COMPLEMENT — fills the "tested and kept working" gap entirely absent from Y; nothing in Y proves any hook actually does what it claims.
installed	item-3	scripts/prove-hooks.d/	hook set	617	COMPLEMENT	COMPLEMENT	yes	scripts/prove-hooks.d/	L	already in the library; cost is the edit the fragments imply plus a version bump	COMPLEMENT — necessary companion data to item-2's proof; no analogous artifact exists in Y.	COMPLEMENT — supporting artifact for the same gap as item-2; Y has no analogous proof data.
installed	item-4	scripts/replay-hooks.py	script	158	COMPLEMENT	COMPLEMENT	yes	scripts/replay-hooks.py	M	already in the library; cost is the edit the fragments imply plus a version bump	COMPLEMENT — addresses "kept working" via measured real-world fire-rate; Y has no comparable maintenance/monitoring tool.	COMPLEMENT — fills a "measure real usage, catch drift over time" gap Y never addresses; Y's dispatchers report nothing about how often their gates actually fire on real work.
installed	item-5	plugins/foundry-core/skills/bounded-loop/scripts/	script set	345	COMPLEMENT	COMPLEMENT	yes	plugins/foundry-core/skills/bounded-loop/scripts/	M	already in the library; cost is the edit the fragments imply plus a version bump	COMPLEMENT — covers a lifecycle event (Stop) and failure-escalation pattern that none of Y's pre/post-tool-use dispatch items touch.	COMPLEMENT — Y's manifest names an end-of-turn "Stop" hook for auditing/session-summary but shows no comparable budgeted-retry-with-tamper-detection mechanism; functionally distinct enough not to call substitution.
