kind	name	what_it_does	what_you_say	what_you_get	on_your_computer
skill	adhd	Reshapes every reply for the rest of the session: the next action first, numbered steps, your position restated each turn, and tangents left out.	"/adhd"	Answers in a fixed shape, with the next concrete step at the top and a time estimate on it, until you say to stop.	Nothing
skill	capability-index	Keeps a list of skills that exist on your computer but are not loaded in the session you are in, and says where each one lives.	"is there a skill for this that isn't loaded?"	The name of what covers your request, where it lives, and an offer to install it or switch it on.	Reads the file that records which packs you have installed and lists the folders in your library. It installs or switches on a pack only after you say yes.
skill	fable-project-review	Reviews a project you already built, ranks what is wrong by severity, and writes a plan a later session can carry out without your help.	"review this project and tell me what you'd improve"	A review by dimension, then a dated plan file with exact file paths, the wanted end state and a check for each item.	Reads through the project you name, runs `git log` to see recent changes, and writes one or two dated markdown files into that project folder.
skill	folder-to-repo	Turns a folder with no history into a new private GitHub repository, scanning it for secrets before the first commit.	"put this folder on GitHub"	A private repository holding your files, a README and a `.gitignore`, and a list of anything the scan left out.	Reads every text file in the folder, adds a README and `.gitignore`, creates a git repository with a first commit, deletes a file named `START_HERE.md`, then creates a private GitHub repository and uploads the folder.
skill	graham-voice	Drafts emails, messages and notes in one named person's writing voice, down to his phrasing and sign-offs.	"reply to this in my voice"	A draft for you to edit. It never sends anything.	Nothing
skill	humanizer	Rewrites text that sounds like a chatbot so it reads like a person, keeping every fact, and naming the patterns it removed.	"make this sound less like AI wrote it"	The rewrite, plus a short list of what changed and of any chatbot patterns still left in it.	Reads the one file you name and can overwrite it, but only after showing you the rewrite and getting a yes in that conversation.
skill	repo-handoff	Cuts a copy of a project you can give to another person, with your personal and copyrighted material removed and proven gone.	"make a copy of this project I can hand to a friend"	A private repository for the recipient, the list of what was left out and why, and a walkthrough that was run before handover.	Searches your repository and its whole history for the details you list, builds a cleaned copy in a scratch folder, runs a secret scanner over it, then creates a private GitHub repository and uploads that copy.
skill	schedule-harness	Writes the instruction file for running one phase of a long project on a schedule, with written limits on what an unwatched run may do.	"set this phase up to run every Sunday"	One small instruction file, a check that it is complete, and the values you paste in to register the job.	Writes two small text files, a short input file and then the file describing an unattended job, and checks the second one. You register the job yourself.
skill	scrollback	Builds pages, dashboards, documents and slides in one fixed monospace style, with a set list of colours and components.	"build this page in the Scrollback style"	The page or stylesheet you asked for, and on request a table of how readable each colour pairing is.	Writes the web page you asked for and can run a small colour check. The pages it makes fetch a font from Google when someone opens them.
skill	skill-discovery	Reads your past Claude conversations for jobs you set up from scratch again and again, and ranks them as candidates for new skills.	"what am I doing repeatedly that should be a skill?"	A ranked list of candidates, each with the phrases that would trigger it and the conversations that are the evidence.	Reads your past Claude conversations, runs several helper agents over them, and offers to save one list of suggestions.
skill	source-intake	Judges an incoming repository or article against what you already have installed, then applies the decisions you agree to.	"is this repo worth adopting?"	A review written without your own setup in view, a comparison against what you already have, and a table of decisions.	Downloads the repository or article you point at, runs several separate Claude reviews of it, then edits and commits files in your skill library.
skill	toolkit-review	Judges the skills, agents and hooks you already have, one slot at a time, on their own or against a repository you are considering.	"review my skills and tell me which ones earn their place"	A scored ledger per slot, two independent judgments each way round, a decisions table, and changes that wait for your approval.	Copies your installed skills and any downloaded repositories into a working folder, runs many separate Claude sessions and, at the largest size, throwaway containers over them, writes a folder of report files, and can end by committing changes to your skill library.
skill	x-read	Fetches the full text of a post, a long article or a whole thread on X, or runs a search there, and hands it back as plain text.	"read this X thread for me"	The full text as markdown or as structured data, without the preview cut-off you get elsewhere.	Runs a Node program that talks to X as you, using two session cookies you stored once yourself, downloads the posts you name, and keeps one small cache file in `~/.config/bird`.
