side	item	source	type	lines	class_judge_XY	class_judge_YX	judges_agree	target	effort	adoption_cost	note_judge_XY	note_judge_YX
ecc	item-1	agents/code-reviewer.md	agent	314	SUPERIOR SUBSTITUTE	REDUNDANT	NO	plugins/verification-kit/agents/code-reviewer.md	M	314 lines in 1 file(s) to rewrite to the library's authoring rules, strip agent-directed text, check name collisions, land as maturity: incubator, bump verification-kit	SUPERIOR SUBSTITUTE — paired with Y item-1 + Y item-2: same "cite evidence before reporting a finding" function, but Y enforces verdict shape with an executable script (`verdict-check.sh`) rather than a self-imposed prose gate, and Y item-2 generalizes the principle ("a tool's self-reported success is a claim, not a result") beyond diffs.	REDUNDANT (pair: Y item-1) | Same job as Y item-1, but its four-question gate and Node/React false-positive list are worth salvaging as fragments into Y item-1/item-2 even though the item as packaged is superseded.
ecc	item-2	agents/security-reviewer.md	agent	108	DISCARD	DISCARD	yes	n/a	n/a	n/a	DISCARD — its scanning content is otherwise unique, but the item instructs an irreversible action ("Rotate secrets if credentials exposed") with no approval pause, which the report itself flags as conflicting with plan-then-stop; this is the specific defect that sinks X's bar-fit score.	DISCARD | The bar-violating action clause ("Rotate secrets... Alert project owner immediately") makes the item as packaged unusable; its OWASP checklist body overlaps with X item-4 anyway.
ecc	item-3	agents/silent-failure-hunter.md	agent	50	COMPLEMENT	COMPLEMENT	yes	plugins/verification-kit/agents/silent-failure-hunter.md	S	50 lines in 1 file(s) to rewrite to the library's authoring rules, strip agent-directed text, check name collisions, land as maturity: incubator, bump verification-kit	COMPLEMENT — fills a real gap: none of Y's seven items check for swallowed exceptions, bad fallbacks, or logging quality in code.	COMPLEMENT | Genuine gap — nothing in Y's set looks for empty catch blocks, bad fallbacks, or lost stack traces.
ecc	item-4	skills/security-review/	skill	865	COMPLEMENT	COMPLEMENT	yes	plugins/verification-kit/skills/security-review/	L	865 lines in 2 file(s) to rewrite to the library's authoring rules, strip agent-directed text, check name collisions, land as maturity: incubator, bump verification-kit	COMPLEMENT — fills a gap: Y has no equivalent bulk reference of PASS/FAIL security/cloud code examples for a reviewer to consult.	COMPLEMENT | Fills a real security-specifics gap Y's set doesn't carry, though its action-phrased checklist rows ("Rotate secrets," "Enable MFA") need a stop-gate wrapper before merging, per the report's own "ignores plan-then-stop" note.
installed	item-1	plugins/verification-kit/skills/review-pair/	skill	595	COMPLEMENT	SUPERIOR SUBSTITUTE	NO	plugins/verification-kit/skills/review-pair/	M	already in the library; cost is the edit the fragments imply plus a version bump	COMPLEMENT — fills a gap: X has no independent-reviewer, script-validated-verdict, or repeat-fail HOLD mechanism.	SUPERIOR SUBSTITUTE (pair: X item-1) | Does the same pre-apply diff-review job as X item-1 but with a real script gate and a repeat-fail hold/escalation rule; X item-1's gate is prose only.
installed	item-2	plugins/verification-kit/agents/pre-delivery-verifier.md	agent	97	SUPERIOR SUBSTITUTE	COMPLEMENT	NO	plugins/verification-kit/agents/pre-delivery-verifier.md	S	already in the library; cost is the edit the fragments imply plus a version bump	SUPERIOR SUBSTITUTE — paired with X item-1; generalizes and strengthens the same "don't claim done without executed evidence" function to any artifact, with UNVERIFIED as an explicit legitimate verdict X item-1 lacks.	COMPLEMENT | No X item verifies a finished artifact against acceptance criteria with a formal not-verified verdict; fills that gap.
installed	item-3	plugins/verification-kit/skills/site-review/	skill	535	COMPLEMENT	COMPLEMENT	yes	plugins/verification-kit/skills/site-review/	M	already in the library; cost is the edit the fragments imply plus a version bump	COMPLEMENT — fills a gap: X is code-only, with nothing for live-site, performance, or UX review.	COMPLEMENT | No analog in X; X has nothing for live-site or visual review.
installed	item-4	plugins/consistency-checker/skills/spec-artifact-diff/	skill	162	COMPLEMENT	COMPLEMENT	yes	plugins/consistency-checker/skills/spec-artifact-diff/	M	already in the library; cost is the edit the fragments imply plus a version bump	COMPLEMENT — fills a gap: no document-vs-artifact claim checking exists in X.	COMPLEMENT | No analog in X.
installed	item-5	plugins/consistency-checker/agents/cross-document-checker.md	agent	119	COMPLEMENT	COMPLEMENT	yes	plugins/consistency-checker/agents/cross-document-checker.md	S	already in the library; cost is the edit the fragments imply plus a version bump	COMPLEMENT — fills a gap: no multi-document contradiction/staleness check exists in X.	COMPLEMENT | No analog in X.
installed	item-6	plugins/verification-kit/skills/fact-currency-check/	skill	68	COMPLEMENT	COMPLEMENT	yes	plugins/verification-kit/skills/fact-currency-check/	S	already in the library; cost is the edit the fragments imply plus a version bump	COMPLEMENT — fills a gap: no currency/staleness check on prior research claims exists in X.	COMPLEMENT | No analog in X.
installed	item-7	plugins/workbench/skills/fable-project-review/	skill	266	COMPLEMENT	COMPLEMENT	yes	plugins/workbench/skills/fable-project-review/	M	already in the library; cost is the edit the fragments imply plus a version bump	COMPLEMENT — fills a gap: no whole-project audit that produces a self-contained plan with a later verify mode and an explicit pre-handoff stop checkpoint exists in X.	COMPLEMENT | No analog in X; nothing in X produces a handoff plan or re-verifies against one.
