side	item	source	type	lines	class_judge_XY	class_judge_YX	judges_agree	target	effort	adoption_cost	note_judge_XY	note_judge_YX
ecc	item-1	skills/tdd-workflow/	skill	583	COMPLEMENT	COMPLEMENT	yes	plugins/foundry-core/skills/tdd-workflow/	M	583 lines in 1 file(s) to rewrite to the library's authoring rules, strip agent-directed text, check name collisions, land as maturity: incubator, bump foundry-core	COMPLEMENT to Y item-1 — its untrusted-plan-as-data intake and human-approval-for-destructive-steps checklist has no analog in Y; its own loop-enforcement is prose-only where Y item-1 mechanizes the equivalent with a blocking hook.	COMPLEMENT — pairs with Y item-1 (see above); its plan-injection safety checklist and "do not invent PASS results" language are the strongest content in either report on bar 1/2 discipline specifically for code changes.
ecc	item-2	skills/eval-harness/	skill	271	COMPLEMENT	COMPLEMENT	yes	plugins/foundry-core/skills/eval-harness/	M	271 lines in 1 file(s) to rewrite to the library's authoring rules, strip agent-directed text, check name collisions, land as maturity: incubator, bump foundry-core	COMPLEMENT — no formal capability/regression-eval concept, grader taxonomy, or reliability metric exists anywhere in Y.	COMPLEMENT — fills a formal-evaluation/pass@k vocabulary gap entirely absent from Y.
ecc	item-3	skills/delivery-gate/	skill	346	COMPLEMENT	COMPLEMENT	yes	plugins/foundry-core/skills/delivery-gate/	M	346 lines in 2 file(s) to rewrite to the library's authoring rules, strip agent-directed text, check name collisions, land as maturity: incubator, bump foundry-core	COMPLEMENT to Y item-6 — different trigger event and concern (session-end housekeeping vs. per-Bash-call evidence hygiene); neither makes the other redundant.	COMPLEMENT — fills a session-end documentation/disk-hygiene gap Y doesn't address, though it is tangential to "does the check pass" (Y item-1's actual job) rather than a substitute for it.
ecc	item-4	agents/tdd-guide.md	agent	91	DISCARD	COMPLEMENT	NO	plugins/foundry-core/agents/tdd-guide.md	S	91 lines in 1 file(s) to rewrite to the library's authoring rules, strip agent-directed text, check name collisions, land as maturity: incubator, bump foundry-core	DISCARD — the report notes it "defers... the more developed plan-safety and evidence-report machinery to a separate document" (X item-1); it adds little once item-1 and item-2's addendum exist.	COMPLEMENT — fills TDD-specific role guidance (edge-case categories, anti-patterns) not present in Y's set, though it explicitly "ignores" plan-then-stop per the report.
installed	item-1	plugins/foundry-core/skills/bounded-loop/	skill	834	SUPERIOR SUBSTITUTE	COMPLEMENT	NO	plugins/foundry-core/skills/bounded-loop/	L	already in the library; cost is the edit the fragments imply plus a version bump	SUPERIOR SUBSTITUTE for the loop-enforcement portion of X item-1 — it mechanizes exactly the "run it, prove it, don't fake it" cycle X item-1 only describes in prose.	COMPLEMENT — pairs with X item-1: Y item-1 supplies the executable blocking mechanism X item-1's RED/GREEN gates lack; X item-1 supplies the untrusted-plan-handling and RED/GREEN semantics Y item-1 doesn't define.
installed	item-2	plugins/foundry-core/skills/full-output-enforcement/	skill	88	DISCARD	DISCARD	yes	n/a	n/a	n/a	DISCARD — self-graded completeness check that the report itself flags as conflicting with executed-evidence-before-done, and it's tangential to the build/verify/fix scope of this slot.	DISCARD — prose-only, self-graded, and the report itself flags a conflict with executed-evidence-before-done; no compensating enforcement and no X counterpart to merge against.
installed	item-3	plugins/verification-kit/skills/smoke-gate/	skill	960	COMPLEMENT	COMPLEMENT	yes	plugins/verification-kit/skills/smoke-gate/	L	already in the library; cost is the edit the fragments imply plus a version bump	COMPLEMENT — proves a check can actually fail before trusting a pass, a distinct concern neither X nor Y item-1 covers.	COMPLEMENT — fills a gap absent from every X item: proof that a check can actually fail (poisoned run) before any pass is trusted.
installed	item-4	plugins/deploy-ops/skills/deploy-verify-fix/	skill	93	COMPLEMENT	COMPLEMENT	yes	plugins/deploy-ops/skills/deploy-verify-fix/	S	already in the library; cost is the edit the fragments imply plus a version bump	COMPLEMENT — extends the build-verify-fix loop to live deployed environments, a domain absent from X entirely.	COMPLEMENT — fills a live-deployment-loop gap; X has no deploy content at all.
installed	item-5	plugins/deploy-ops/agents/deploy-loop-owner.md	agent	87	COMPLEMENT	COMPLEMENT	yes	plugins/deploy-ops/agents/deploy-loop-owner.md	S	already in the library; cost is the edit the fragments imply plus a version bump	COMPLEMENT — same domain as item-4, defines the two-gate human-return boundary; no analog in X.	COMPLEMENT — same gap as item-4, persona form; no X counterpart.
installed	item-6	dot-claude/hooks/evidence-guard.py	hook	93	COMPLEMENT	COMPLEMENT	yes	dot-claude/hooks/evidence-guard.py	S	already in the library; cost is the edit the fragments imply plus a version bump	COMPLEMENT — always-on, lightweight catch for weak-evidence bash patterns; no analog in X.	COMPLEMENT — fills a "weak-evidence command pattern" detection gap (masked exit codes, discarded output, secrets) that X's item-3 hook, which checks disk/staleness/rationalization instead, doesn't cover.
