side	item	source	type	lines	class_judge_XY	class_judge_YX	judges_agree	target	effort	adoption_cost	note_judge_XY	note_judge_YX
ecc	item-1	agents/loop-operator.md	agent	36	COMPLEMENT	COMPLEMENT	yes	plugins/workbench/agents/loop-operator.md	S	36 lines in 1 file(s) to rewrite to the library's authoring rules, strip agent-directed text, check name collisions, land as maturity: incubator, bump workbench	COMPLEMENT — fills a runtime stall/escalation-detection gap Y's scaffolding-only set doesn't cover.	COMPLEMENT — Y has no runtime agent that supervises an already-running loop for stalls and escalation triggers.
ecc	item-2	agents/harness-optimizer.md	agent	46	COMPLEMENT	COMPLEMENT	yes	plugins/workbench/agents/harness-optimizer.md	S	46 lines in 1 file(s) to rewrite to the library's authoring rules, strip agent-directed text, check name collisions, land as maturity: incubator, bump workbench	COMPLEMENT — no Y item does self-audit-and-tune of the agent harness with snapshot/restore and a security block.	COMPLEMENT — a distinctive, well-enforced capability (blocked-pending-human-approval on security changes) with nothing comparable in Y.
ecc	item-3	skills/orch-pipeline/	skill	121	COMPLEMENT	COMPLEMENT	yes	plugins/workbench/skills/orch-pipeline/	S	121 lines in 1 file(s) to rewrite to the library's authoring rules, strip agent-directed text, check name collisions, land as maturity: incubator, bump workbench	COMPLEMENT — fills Y's missing "routine feature/fix/refactor task pipeline" gap (Y's item-1 gates a different scope: multi-session, irreversible-ending projects).	COMPLEMENT vs Y-item-1 — parallel invention of the "two gates" idea, but scoped to software dev tasks (size tiers, security-trigger list, coverage threshold) rather than Y's general irreversible-project case; neither clearly supersedes the other.
ecc	item-4	skills/orch-add-feature/	skill	45	COMPLEMENT	COMPLEMENT	yes	plugins/workbench/skills/orch-add-feature/	S	45 lines in 1 file(s) to rewrite to the library's authoring rules, strip agent-directed text, check name collisions, land as maturity: incubator, bump workbench	COMPLEMENT — instantiates item-3 for net-new work; no Y analog.	COMPLEMENT — fills a workflow-type gap (net-new capability, tests-first) Y doesn't address.
ecc	item-5	skills/orch-build-mvp/	skill	49	COMPLEMENT	COMPLEMENT	yes	plugins/workbench/skills/orch-build-mvp/	S	49 lines in 1 file(s) to rewrite to the library's authoring rules, strip agent-directed text, check name collisions, land as maturity: incubator, bump workbench	COMPLEMENT — no Y analog for spec-driven generator/evaluator bootstrap loop.	COMPLEMENT — no Y analog for spec-to-vertical-slice bootstrapping.
ecc	item-6	skills/orch-change-feature/	skill	43	COMPLEMENT	COMPLEMENT	yes	plugins/workbench/skills/orch-change-feature/	S	43 lines in 1 file(s) to rewrite to the library's authoring rules, strip agent-directed text, check name collisions, land as maturity: incubator, bump workbench	COMPLEMENT — no Y analog.	COMPLEMENT — no Y analog for the update-tests-first "tweak" distinction.
ecc	item-7	skills/orch-fix-defect/	skill	43	COMPLEMENT	COMPLEMENT	yes	plugins/workbench/skills/orch-fix-defect/	S	43 lines in 1 file(s) to rewrite to the library's authoring rules, strip agent-directed text, check name collisions, land as maturity: incubator, bump workbench	COMPLEMENT — no Y analog.	COMPLEMENT — no Y analog for reproduce-as-failing-test bugfix discipline.
ecc	item-8	skills/orch-refine-code/	skill	44	COMPLEMENT	COMPLEMENT	yes	plugins/workbench/skills/orch-refine-code/	S	44 lines in 1 file(s) to rewrite to the library's authoring rules, strip agent-directed text, check name collisions, land as maturity: incubator, bump workbench	COMPLEMENT — no Y analog.	COMPLEMENT — no Y analog for behavior-preserving refactor discipline.
ecc	item-9	commands/orch-add-feature.md	command	36	DISCARD	REDUNDANT	NO	n/a	n/a	n/a	DISCARD — restates item-4's content for manual invocation; no independent enforcement or capability.	(one row for items 9 to 13) REDUNDANT among themselves (near-identical restatements); relative to Y, COMPLEMENT — fixed, ready-made entry points where Y instead generates dispatch skills per project.
ecc	item-10	commands/orch-build-mvp.md	command	36	DISCARD	REDUNDANT	NO	n/a	n/a	n/a	DISCARD — same reason as item-9.	(one row for items 9 to 13) REDUNDANT among themselves (near-identical restatements); relative to Y, COMPLEMENT — fixed, ready-made entry points where Y instead generates dispatch skills per project.
